id,sr_no,citation,category_name,details,year,created_at,user_id,updated_at
053e8f60-ad42-4a3f-96c7-b17358ec0e82,13,2026 SCMR 163,Appreciation of Evidence,The blackening on the margins of an entry wound can be caused by a long-range rifle.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
ec415921-fd31-4996-be70-ed77f53fbb24,14,2026 YLR 361 Lahore,Appreciation of Evidence,Blood grouping or DNA test was not conducted despite blood stains being available on the recovered crime weapon. Therefore the recovery has no evidentiary value.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
45854415-f9af-499b-8d61-4572e913e51c,15,2026 YLR 513 Lahore,Appreciation of Evidence,The plea taken by the accused before the Investigating Officer is admissible in evidence under Article 27 of Qanoon-e-Shahadat.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
4266acaa-1571-4132-8ad3-18e0d93632cb,16,2026 YLR 386/485 Lahore,Appreciation of Evidence,The co-accused of the appellant was acquitted on the basis of the same evidence; therefore the appellant was also acquitted.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
74d486ef-182d-41d9-b48e-c851e8e4b731,17,2026 YLR 485 Lahore,Appreciation of Evidence,"The brother of the deceased is an interested witness while the other witnesses are chance witnesses because they are not residents of the same locality. The IO also declared some nominated accused innocent but the complainant did not challenge the investigation, which creates doubt. Accused acquitted.",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
95f7a869-7c7c-4261-8ac6-ad4045385c5c,18,2026 PLD 84 Lahore,Miscellaneous,"The High Court holds that if an accused is acquitted from the case, the police department should issue him a clear character certificate.",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
e91be0d8-3744-475e-b8df-41aed12a7013,21,2026 SCMR 77,Miscellaneous,After acquittal the accused wants to initiate proceedings under section 182 CrPC against the complainant. The accused was acquitted due to deficient evidence and the court did not hold that the complainant's case is false. Proceedings under section 182 CrPC can only be initiated by the government office to whom the false information was served.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
0ff71eb7-183c-4d30-a039-8cbf45dfdf32,23,PLD 2016 SC 55,Miscellaneous,"The orders passed either under Section 203, Cr.PC whereby the direct complaint is dismissed or under Section 204, Cr.PC
whereby the Court has taken cognizance of an offence complained of
and has issued warrants or summons for causing the accused to be
brought or produced before the Court are judicial orders. 

 *PLD 2016 SC 55*",2016,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
291e47cd-e109-467e-a115-15a5b8ac69f0,24,2000 SCMR 785,Miscellaneous,"Stage of ""trial""---Scope---Taking of cognizance is not commencement of trial---Trial of a case commences with framing of charge against the accused.
A statement under Section 164 CrPC may be recorded at any stage prior to the framing of charge, irrespective of whether the accused has been summoned or not prior to such stage.
2000 SCMR 785
PLD 2024 SC 1152
2025 PCrLJ 1919",2000,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
f7af3cba-7e54-4dd6-b0dc-9c7240bb7159,25,2023 LHC 7704,Miscellaneous,Sampling for DNA of under custody accused,2023,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
c7bc3bee-5c04-452d-8989-cc6dac788a9b,26,2022 SCMR 1115,Miscellaneous,"2022 SCMR 1115
2021 PCRLJ NOTE 66
Attroney can not get registered an FIR or file a criminal Complaint.",2022,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
620e544c-3381-4faa-91bc-203f3c0fa7fc,27,PLD 2026 ISLAMABAD 35,Miscellaneous,"Bail: re-arrest of the accused who's on bail:
Addition of offences: 

Accused who's on bail cannot be re-arrested on the ground of addition of offences during investigation, unless prosecution seeks cancellation of his bail. 
Rule 26.21(6) of police rules are referred.

2024 PcrLJ 1568
Pld 2026 Islamabad 35",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
5a53ac89-c374-4184-a477-f290da350fcf,28,PLD 2026 LAHORE 47,Appreciation of Evidence,COC must be proved through oral and documentary evidence. Further that all the evidence must be put to the accused in his statement under section 342 CRPC.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
b656b151-76cd-467d-8181-3236f96ba30d,29,PLD 2018 BALOCHISTAN 334,Miscellaneous,"Sessions case can not adjourn sine die 
PLD 2018 Bal 39
Sessions court cannot adjourn a case sine die waiting the arrest of co-accused.
   PLD 2023 LHR 334

Sessions court can use section 249 crpc & sine die adjourn
2016 pcrlj note 127
PLD 1978 SC 38",2018,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
7f69797f-5f37-4f14-83ab-6b0125990cb4,30,PLD 2023 LAHORE 334,Miscellaneous,"Sessions court cannot adjourn a case sine die waiting the arrest of co-accused.
   PLD 2023 LHR 334",2023,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
c084813d-3084-4b47-864c-552cea090bb9,31,PLD 1978 SC 38,Miscellaneous,"Sessions court can use section 249 crpc & sine die adjourn
2016 pcrlj note 127
PLD 1978 SC 38",1978,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
cf670026-cabb-4a8a-9633-9fbc94e3b94c,32,2023 LHC 7687,Miscellaneous,The trial court can itself ordered of the DNA of accused and its comparison with the samples taken from the body of victim / disease,2023,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
3a9a3f4c-5020-42f0-8917-3ad605ba9acb,33,PLD 2020 SC 61,Jurisdictions of Anti-Terrorism Court,"All sections of extortion are non-cognizeable offences. For its trial under ATA 1997 the ingredients of section 6 should be proved.
PLD 2020 SC 61",2020,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
36e54d7c-d137-4937-8aa3-aa171c78ec4e,34,PLD 2026 LAHORE 69,Miscellaneous,"489-F PPC: 
Bank being financial institution couldn't register FIR rather has to follow remedies provided in FIO 2001.

PLD 2026 Lahore 69",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
8e8a8fce-aad8-481c-907a-c9c8286a75b7,35,2026 SCMR 77,Miscellaneous,"182 PPC: 

Magistrate and Justice of Peace has no authority to issue directions for initiation of proceedings u/s 182 PPC. It can only be initiated by public servant concerned.

2026 SCMR 77",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
6c3aaf1e-11e7-4e43-8f96-a9ff69cb98d2,36,PLD 2023 LAHORE 300,Miscellaneous,"Court cannot close the right of cross examination of accused .


",2023,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
5d571c81-5f57-468b-94c1-92c5029a85b1,37,1987 PCLJ 367,Miscellaneous,1987 P.Cr.LJ. 367--Separate charge sheets for distinct offences can be submitted against accused even if there is only one F.I.R.,1987,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
e845d2c1-cf12-4a29-bdb4-21e84a2182c6,38,PLD 2015 SINDHU 250,Miscellaneous,"*Bifurcation of challans* 
Single FIR
3 Challans for distinct offences 
3 trial in different courts on same set of facts & witnesses. 
APPROVED BY HIGH COURT
Double Jeopardy not applicable
 *PLD 2015 Sindh 250*",2015,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
7098143f-815a-473e-920c-c98b9fa9efeb,39,2026 SCMR251,Appreciation of Evidence,"PPC 302: 
Rigor Mortis: it starts within 2 to 4 hours and completed in 12 hours in normal temperature. It may become cause to create doubt in the presence of eye witnesses during the occurrence. 

2026 SCMR 251",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
82e4480b-44f2-47af-a810-62984c5feaaf,40,2026 SCMR 205,Appreciation of Evidence,"PPC 302: 
Quantum of sentence: 
Murder of a women: single fire shot at chest disclose intention of the assailant and he deserves no leniency in sentence. 

2026 SCMR 205 
2005 SCMR 427",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
258c6a2e-43b9-4ed8-9622-253a8b4f73a0,41,2026 SCMR 308,Appeal,"S. 428 CrPC: 
Additional Evidence:

Appellate Court cannot remand matter to decide afresh after taking additional evidence.

2026 SCMR 308",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
a812760f-6ae8-4f64-b6d0-3b94a52e7285,42,PLD 2026 SC 126,Appreciation of Evidence,"Interview During Police Custody: 

Admission by the accused before a journalist during police custody is inadmissible in evidence and cannot be relied upon.

PLD 2026 SC 126",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
f917a092-26c1-48a6-a9da-7994ab02b4da,43,2026 MLD 309,Bail,"498 CrPC: 

Acquittal of co-accused cannot be considered a valid ground for pre arrest bail when petitioner accused remained an absconder and waited for conclusion of the trial. 

2026 MLD 309",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
7137178f-a70b-4dc4-ab7b-49965bf9e88e,44,PLD 2026 ISLAMABAD 63,Miscellaneous,"NCCIA : 

Power to freeze property. NCCIA cannot assume powers provided in the FIA Act 1974. The rules 2025 given these powers beyond the PECA 2016 therefore invalid. 

PLD 2026 Islamabad 63",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
fe7a30c4-9591-48bc-bd74-50a4f644b93b,44,PLJ 2025 Cr.C. 1 Lahore,Appreciation of Evidence,"Through CDR the time, date, duration, location of the caller and the number upon which he made a call can be proved.",2025,2026-05-14T13:44:29.056997+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-14T13:44:29.056997+00:00
2308cdf6-0d3f-443d-a6d6-15f7b09116fd,45,2025 SCMR 923,Appreciation of Evidence,"To prove this COC the copies of rapat of daily dairy, copies of register number 19 and copies of road certificate must be submitted before the court in sport of the statement of concerned witnesses.",2025,2026-05-14T14:11:37.673249+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-14T14:11:37.673249+00:00
3ea0aa9d-d6f1-4b00-9811-69cf9100a0c4,48,2026 PCRLJ Lahore 436,Miscellaneous,Superdari application of the petitioner was dismissed as he got changed the ownership of the said car when the car was in custody of police.  Its amount to melafide intent. Such a transfer not only disregards the legal status of the vehicle as evidence in a criminal case but also appears to be a deliberate attempt to frustrate the judicial process.,2026,2026-05-15T06:24:54.15042+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-15T06:24:54.15042+00:00
c532ca52-9d01-4100-b8bf-32ce920c889c,47,2026 PCRLJ Lahore 526,Appreciation of Evidence,In case of sexual offences the convection can be based on the evidence of minor victim. This condition for said testimony is that the same shall reflect that it is independent unbiased and straightforward to established the acquisition against the accused.,2026,2026-05-15T06:51:30.850393+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-15T06:52:01.143848+00:00
d88bd133-c946-4527-8173-739d260771f9,1,2026 SCMR 406,Civil. Pre-emption,"The pre-emptor is son of vendor who was present at the time of execution and registration of sale deed. Despite such knowledge pre-emptor neither objected to the sale nor asserted his right of pre-emption, therefore, the supreme Court set aside  the degree passed in favour of  pre-emptor.",2026,2026-05-16T05:57:47.071835+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T05:58:05.101145+00:00
0b05527d-a405-4846-addd-39830cec3c9d,1,2026 MLD 507 Lahore,Family Law,"Husband is dutybound to maintain his wife and children till their legal entitlement. Right of maintenance flows unconditionally from the base of a valid Nika and constitute binding legal duty. 
Application of the husband for conducting DNA test was rightly turn down since it was trite law that child born during the subsistence of a valid marriage was presumed legitimate and the mode of determining the paternity through DNA test had been deprecated by the supreme court.",2026,2026-05-16T07:01:33.307942+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T07:01:33.307942+00:00
c81a2b45-d0fb-4544-a586-80bc971dc2ae,2,2026 YLR 818 Lahore,Civil Laws,"Amendment in pleadings can be allowed at any stage of proceedings even by first or second appellate Court or in revision or in appeal before the supreme court. However, amendment cannot be allowed if it is changes the complexion of the suit or is sought with mala fadie object of overcoming the contradictions.",2026,2026-05-16T07:42:52.515328+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T07:42:52.515328+00:00
0836e17b-a781-41b9-addf-9248c44c6dd4,52,2026 YLR 658 Lahore,Appreciation of Evidence,"Lacerated wounds with knife could appear depending upon the kind of knife, its weight and the depending parts of the body where the injuries were caused. Appeal against conviction was dismissed.",2026,2026-05-16T08:01:09.288708+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-16T08:01:09.288708+00:00
658bace6-5d0e-41f6-854e-52a735803b39,54,2026 SCMR 614,Appreciation of Evidence,"The trial court had not put the rationality test to the victim / child witness prior to recording of her statement, therefore,  her statement is not credible and required strong corroboration which was lacking. Accused acquitted.",2026,2026-05-22T07:02:44.858844+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-22T07:02:44.858844+00:00
26ec5dad-b298-4ada-a394-fd6dffe98649,56,PLD 2026 Lahore 343,Miscellaneous,"High court quashed the fir of rape because the petitioner has sent a notice to the union council for revocation of divorce prior to completion of 90 days. Therefore, no offence of rape is constituted.",2026,2026-05-22T07:35:13.743156+00:00,6b67c1fe-36e3-4283-a6ca-dfe4a9adba20,2026-05-22T07:35:13.743156+00:00
368fbaba-b1ff-4418-88e4-6c4d3d97aa0b,2,2026 PCRLJ 294 LAHORE,Bail,The accused shared the hate material through his cell phone. The cell phone of the accused was also sent for forensic analysis. The bail application of the accused was dismissed.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
